punt_global,estu_genero,fami_estratovivienda,fami_tieneinternet,fami_educacionmadre,fami_educacionpadre,cole_mcpio_ubicacion,cole_cod_mcpio_ubicacion,cole_naturaleza,cole_area_ubicacion,desempeno_global
335,F,Estrato 5,Si,Postgrado,Educación profesional completa,ENVIGADO,5266,NO OFICIAL,RURAL,Alto
302,M,Estrato 5,Si,Postgrado,Postgrado,ENVIGADO,5266,NO OFICIAL,URBANA,Medio
197,M,Estrato 2,Si,Secundaria (Bachillerato) completa,Primaria incompleta,ITAGÜÍ,5360,NO OFICIAL,RURAL,Bajo
356,F,Estrato 6,Si,Postgrado,Postgrado,ENVIGADO,5266,NO OFICIAL,URBANA,Alto
225,M,Estrato 2,Si,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,MEDELLÍN,5001,NO OFICIAL,URBANA,Medio
213,F,Estrato 2,No,Primaria incompleta,Primaria incompleta,EL SANTUARIO,5697,NO OFICIAL,URBANA,Bajo
223,F,Sin Estrato,No,Primaria completa,Secundaria (Bachillerato) completa,MEDELLÍN,5001,OFICIAL,URBANA,Medio
246,M,Estrato 3,Si,Secundaria (Bachillerato) completa,No Aplica,ITAGÜÍ,5360,NO OFICIAL,RURAL,Medio
217,F,Estrato 3,Si,Secundaria (Bachillerato) incompleta,Primaria completa,LA ESTRELLA,5380,NO OFICIAL,RURAL,Bajo
220,F,Estrato 2,No,Primaria completa,Primaria completa,EL SANTUARIO,5697,NO OFICIAL,URBANA,Bajo
300,M,Estrato 6,Si,Secundaria (Bachillerato) incompleta,Primaria incompleta,ENVIGADO,5266,NO OFICIAL,URBANA,Medio
292,F,Estrato 3,Si,Técnica o tecnológica completa,Técnica o tecnológica completa,ITAGÜÍ,5360,NO OFICIAL,RURAL,Medio
360,M,Estrato 5,Si,Postgrado,Técnica o tecnológica completa,RETIRO,5607,NO OFICIAL,RURAL,Alto
252,F,Estrato 2,Si,Primaria completa,Primaria completa,MEDELLÍN,5001,NO OFICIAL,URBANA,Medio
330,F,Estrato 6,Si,Educación profesional completa,Educación profesional completa,ENVIGADO,5266,NO OFICIAL,RURAL,Alto
243,M,Estrato 6,Si,Postgrado,Postgrado,ENVIGADO,5266,NO OFICIAL,RURAL,Medio
236,M,Estrato 1,Si,Secundaria (Bachillerato) completa,No sabe,SEGOVIA,5736,NO OFICIAL,URBANA,Medio
